ID, Temp C
580,25.39
581,25.39
582,25.39
583,25.39
584,25.39
585,25.39
586,25.39
587,25.39
588,25.39
589,25.39
590,25.39
591,25.39
592,25.39
593,25.39
594,25.39
595,25.39
596,25.39
597,25.39
598,25.39
599,25.39
600,25.39
601,25.39
602,25.39
603,25.39
604,25.39
605,25.39
606,25.39
607,25.39
608,25.39
609,25.39
610,25.39
611,25.39
612,25.39
613,24.9
614,24.9
615,25.39
616,24.9
617,24.9
618,24.9
619,24.9
620,24.9
621,24.9
622,25.39
623,24.9
624,25.39
625,24.9
626,25.39
627,25.39
628,25.39
629,25.39
630,25.39
631,25.39
632,25.39
633,25.39
634,24.9
635,25.39
636,25.39
637,25.39
638,25.39
639,25.39
640,25.39
641,25.39
642,25.39
643,25.39
644,25.39
645,25.39
646,25.39
647,25.39
648,25.39
649,25.39
650,25.39
651,25.39
652,25.39
653,25.39
654,25.39
655,25.39
656,25.39
657,25.39
658,25.39
659,25.39
660,25.39
661,25.39
662,25.39
663,25.39
664,25.39
665,25.39
666,24.9
667,25.39
668,25.39
669,25.39
670,25.39
671,25.39
672,25.39
673,25.39
674,25.39
675,25.39
676,25.39
677,25.39
678,25.39
679,25.39
680,25.39
681,25.39
682,25.39
683,25.39
684,25.39
685,25.39
686,25.39
687,25.39
688,25.39
689,25.39
690,25.39
691,25.39
692,25.39
693,25.39
694,25.39
695,25.39
696,25.39
697,25.39
698,25.39
699,25.39
700,25.39
701,25.39
702,25.39
703,25.39
704,25.39
705,25.39
706,25.39
707,25.39
708,25.39
709,25.39
710,25.39
711,25.39
712,25.39
713,24.9
714,25.39
715,25.39
716,25.39
717,25.39
718,24.9
719,25.39
720,25.39
721,25.39
722,24.9
723,24.9
724,25.39
725,25.39
726,25.39
727,25.39
728,24.9
729,25.39
730,25.39
731,25.39
732,25.39
733,24.9
734,25.39
735,24.9
736,25.39
737,24.9
738,25.39
739,25.39
740,24.9
741,25.39
742,25.39
743,25.39
744,24.9
745,25.39
746,24.9
747,25.39
748,25.39
749,24.9
750,25.39
751,24.9
752,25.39
753,25.39
754,25.39
755,25.39
756,24.9
757,24.9
758,24.9
759,25.39
760,24.9
761,25.39
762,24.9
763,25.39
764,24.9
765,25.39
766,24.9
767,25.39
768,25.39
769,24.9
770,25.39
771,25.39
772,24.9
773,25.39
774,25.39
775,24.9
776,24.9
777,24.9
778,25.39
779,24.9
780,24.9
781,25.39
782,24.9
783,25.39
784,24.9
785,25.39
786,25.39
787,25.39
788,24.9
789,24.9
790,24.9
